Gene	HPV_positive_rates	HPV_negative_rates
AMELX	0	3.707231e-07
AMELY	0	3.718422e-07
AMFR	7.592599e-07	1.57944e-06
AMH	2.154255e-06	8.077577e-07
AMHR2	1.136918e-06	0
AMICA1	9.229094e-07	1.344728e-06
AMIGO1	1.969277e-06	2.109004e-06
AMIGO2	1.847976e-06	1.178034e-06
AMIGO3	0	4.030102e-07
AMMECR1	1.267015e-06	1.793065e-06
AMMECR1L	8.7265e-07	1.835758e-06
AMN	1.864328e-06	1.804439e-06
AMN1	1.353093e-06	1.069574e-06
AMOT	2.35043e-06	1.798001e-06
AMOTL1	1.237132e-06	1.443551e-06
AMOTL2	5.801859e-07	1.819674e-06
AMPD1	9.586634e-07	1.110035e-06
AMPD2	1.124624e-06	2.57028e-06
AMPD3	8.758009e-07	1.371664e-06
AMPH	1.325944e-06	2.342063e-06
AMT	1.253997e-06	1.534825e-06
AMTN	2.002536e-06	1.756725e-06
AMY1A	6.113882e-07	8.005156e-07
AMY1B	6.113882e-07	8.005156e-07
AMY1C	7.592997e-07	0
AMY2A	2.209059e-06	3.163798e-06
AMY2B	1.469456e-06	3.843354e-06
AMZ1	1.244291e-06	2.026778e-06
AMZ2	1.195599e-06	1.46335e-06
ANAPC1	1.413927e-06	1.189768e-06
ANAPC10	9.169534e-07	1.589928e-06
ANAPC11	1.347862e-06	1.690954e-06
ANAPC13	1.845411e-06	1.637547e-06
ANAPC16	1.778761e-06	1.088555e-06
ANAPC2	6.907726e-07	1.063094e-06
ANAPC4	5.244442e-07	1.024774e-06
ANAPC5	1.444365e-06	8.406805e-07
ANAPC7	1.495872e-06	2.056327e-06
ANG	0	5.678092e-07
ANGEL1	1.145545e-06	1.752608e-06
ANGEL2	1.278517e-06	9.179445e-07
ANGPT1	5.587675e-07	2.542343e-06
ANGPT2	0	6.887078e-07
ANGPT4	5.262056e-07	1.242994e-06
ANGPTL1	0	4.063088e-07
ANGPTL2	0	3.498414e-07
ANGPTL3	0	3.507601e-07
ANGPTL4	0	2.428088e-07
ANGPTL5	1.861493e-06	3.298791e-06
ANGPTL6	0	2.091788e-06
ANGPTL7	0	3.517506e-07
ANK1	8.162019e-07	2.71205e-06
ANK2	1.640875e-06	2.702862e-06
ANK3	0	1.941458e-06
ANKAR	0	1.625583e-06
ANKDD1A	1.235827e-06	5.254253e-07
ANKFN1	2.087316e-06	2.794272e-06
ANKFY1	6.126201e-07	1.287329e-06
ANKH	1.980899e-06	4.171768e-07
ANKHD1	0	2.075989e-07
ANKHD1-EIF4EBP3	0	1.427224e-06
ANKIB1	6.937983e-07	0
ANKK1	7.25242e-07	1.33717e-06
ANKLE1	2.204976e-06	1.446188e-06
ANKLE2	7.125423e-07	9.97658e-07
ANKMY1	9.365471e-07	2.388091e-06
ANKMY2	1.402547e-06	2.7273e-06
ANKRA2	6.985133e-07	1.49615e-06
ANKRD1	7.207457e-07	2.934482e-06
ANKRD10	1.086364e-06	1.331309e-06
ANKRD11	5.223838e-07	1.558464e-06
ANKRD12	1.310304e-06	1.643837e-06
